z2,<dsig|c12>_piPpiM,err_<dsig|c12>_piPpiM,<dsig|c12>_piMpiP,err_<dsig|c12>_piMpiP,<dsig|c12>_piPpiP,err_<dsig|c12>_piPpiP,<dsig|c12>_piMpiM,err_<dsig|c12>_piMpiM,<ALL|c12>_piPpiM,err_<ALL|c12>_piPpiM,<ALL|c12>_piMpiP,err_<ALL|c12>_piMpiP,<ALL|c12>_piPpiP,err_<ALL|c12>_piPpiP,<ALL|c12>_piMpiM,err_<ALL|c12>_piMpiM,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_piPpiM,Collins_piMpiP,Collins_piPpiP,Collins_piMpiM,time[s],neval,fail
,0.1,0.0364312,0.182816,0.00274254,0.0105685,0.0364312,0.182816,0.00274254,0.0105685,-0.000401707,0.00201581,-3.02405e-05,0.000116533,-0.000401707,0.00201581,-3.02405e-05,0.000116533,0.352648,0.352648,-0.00388845,-0.00388845,289.046,100000035,1
,0.15,0.0358392,0.179845,0.00269798,0.0103968,0.0358392,0.179845,0.00269798,0.0103968,-0.00132678,0.00665795,-9.98804e-05,0.000384894,-0.00132678,0.00665795,-9.98804e-05,0.000384894,0.346917,0.346917,-0.012843,-0.012843,317.267,100000035,1
,0.2,0.0359578,0.18044,0.0027069,0.0104312,0.0359578,0.18044,0.0027069,0.0104312,-0.0027596,0.013848,-0.000207743,0.000800547,-0.0027596,0.013848,-0.000207743,0.000800547,0.348065,0.348065,-0.0267124,-0.0267124,304.035,100000035,1
,0.25,0.0369012,0.18118,0.00277104,0.0104676,0.0369012,0.18118,0.00277104,0.0104676,-0.00450537,0.0221208,-0.000338323,0.00127801,-0.00450537,0.0221208,-0.000338323,0.00127801,0.355951,0.355951,-0.043459,-0.043459,300.247,100000035,1
,0.3,0.0376828,0.187403,0.00284959,0.0108358,0.0376828,0.187403,0.00284959,0.0108358,-0.0062762,0.0312126,-0.000474608,0.00180475,-0.0062762,0.0312126,-0.000474608,0.00180475,0.367176,0.367176,-0.0611544,-0.0611544,298.329,100000035,1
,0.35,0.038872,0.194335,0.00293857,0.0112378,0.038872,0.194335,0.00293857,0.0112378,-0.00809817,0.0404857,-0.00061219,0.00234116,-0.00809817,0.0404857,-0.00061219,0.00234116,0.378515,0.378515,-0.0788557,-0.0788557,317.808,100000035,1
,0.4,0.0399422,0.200046,0.00301609,0.0115675,0.0399422,0.200046,0.00301609,0.0115675,-0.00993034,0.049735,-0.000749855,0.00287589,-0.00993034,0.049735,-0.000749855,0.00287589,0.388268,0.388268,-0.0965303,-0.0965303,301.09,100000035,1
,0.45,0.0408462,0.204722,0.00308192,0.0118372,0.0408462,0.204722,0.00308192,0.0118372,-0.0117656,0.0589692,-0.000887731,0.00340966,-0.0117656,0.0589692,-0.000887731,0.00340966,0.39661,0.39661,-0.114241,-0.114241,307.627,100000035,1
,0.5,0.0417104,0.209124,0.00314555,0.0120912,0.0417104,0.209124,0.00314555,0.0120912,-0.0135366,0.0678688,-0.00102085,0.00392407,-0.0135366,0.0678688,-0.00102085,0.00392407,0.404735,0.404735,-0.131352,-0.131352,301.808,100000035,1
,0.55,0.0426989,0.214118,0.00321907,0.0123796,0.0426989,0.214118,0.00321907,0.0123796,-0.0150506,0.0754731,-0.00113467,0.00436359,-0.0150506,0.0754731,-0.00113467,0.00436359,0.414164,0.414164,-0.145986,-0.145986,297.825,100000035,1
,0.6,0.0439052,0.220191,0.00330931,0.0127304,0.0439052,0.220191,0.00330931,0.0127304,-0.0160263,0.080374,-0.00120796,0.00464684,-0.0160263,0.080374,-0.00120796,0.00464684,0.425756,0.425756,-0.15541,-0.15541,301.486,100000035,1
,0.65,0.0452907,0.227156,0.00341321,0.0131328,0.0452907,0.227156,0.00341321,0.0131328,-0.0162301,0.0814022,-0.00122314,0.0047062,-0.0162301,0.0814022,-0.00122314,0.0047062,0.439113,0.439113,-0.157358,-0.157358,300.8,100000035,1
,0.7,0.0467704,0.23459,0.00352429,0.0135624,0.0467704,0.23459,0.00352429,0.0135624,-0.0154908,0.0776985,-0.00116728,0.004492,-0.0154908,0.0776985,-0.00116728,0.004492,0.453395,0.453395,-0.150169,-0.150169,303.425,100000035,1
,0.75,0.0482076,0.24181,0.0036322,0.0139797,0.0482076,0.24181,0.0036322,0.0139797,-0.0138338,0.0693903,-0.0010423,0.00401163,-0.0138338,0.0693903,-0.0010423,0.00401163,0.467268,0.467268,-0.134088,-0.134088,306.737,100000035,1
,0.8,0.0494809,0.248207,0.00372776,0.0143493,0.0494809,0.248207,0.00372776,0.0143493,-0.0114692,0.057532,-0.000864058,0.00332604,-0.0114692,0.057532,-0.000864058,0.00332604,0.47955,0.47955,-0.111155,-0.111155,294.041,100000035,1
