z2,<dsig|c12>_piPpiM,err_<dsig|c12>_piPpiM,<dsig|c12>_piMpiP,err_<dsig|c12>_piMpiP,<dsig|c12>_piPpiP,err_<dsig|c12>_piPpiP,<dsig|c12>_piMpiM,err_<dsig|c12>_piMpiM,<ALL|c12>_piPpiM,err_<ALL|c12>_piPpiM,<ALL|c12>_piMpiP,err_<ALL|c12>_piMpiP,<ALL|c12>_piPpiP,err_<ALL|c12>_piPpiP,<ALL|c12>_piMpiM,err_<ALL|c12>_piMpiM,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_piPpiM,Collins_piMpiP,Collins_piPpiP,Collins_piMpiM,time[s],neval,fail
,0.1,0.043722,1.64677e-05,0.000571218,1.69508e-07,0.043722,1.64677e-05,0.000571218,1.69508e-07,-0.0120103,4.52363e-06,-0.000156912,4.65632e-08,-0.0120103,4.52363e-06,-0.000156912,4.65632e-08,0.464813,0.464813,-0.127683,-0.127683,110.919,36000000,0
,0.15,0.0437327,2.72323e-05,0.000571546,2.79455e-07,0.0437327,2.72323e-05,0.000571546,2.79455e-07,-0.0130907,8.15153e-06,-0.000171083,8.36502e-08,-0.0130907,8.15153e-06,-0.000171083,8.36502e-08,0.464857,0.464857,-0.139147,-0.139147,43.3948,14000000,0
,0.2,0.0440883,0.000111331,0.00057585,1.1272e-06,0.0440883,0.000111331,0.00057585,1.1272e-06,-0.015346,3.87515e-05,-0.000200439,3.92352e-07,-0.015346,3.87515e-05,-0.000200439,3.92352e-07,0.468135,0.468135,-0.162946,-0.162946,6.19909,2000000,0
,0.25,0.0448193,0.000262668,0.000579691,2.59838e-06,0.0448193,0.000262668,0.000579691,2.59838e-06,-0.0186976,0.000109579,-0.000241834,1.08398e-06,-0.0186976,0.000109579,-0.000241834,1.08398e-06,0.473957,0.473957,-0.197724,-0.197724,3.08658,1000000,0
,0.3,0.0454416,0.000266315,0.000587738,2.63445e-06,0.0454416,0.000266315,0.000587738,2.63445e-06,-0.0226967,0.000133016,-0.000293557,1.31583e-06,-0.0226967,0.000133016,-0.000293557,1.31583e-06,0.480538,0.480538,-0.240014,-0.240014,3.09667,1000000,0
,0.35,0.046025,0.000269735,0.000595282,2.66827e-06,0.046025,0.000269735,0.000595282,2.66827e-06,-0.0270902,0.000158765,-0.000350381,1.57054e-06,-0.0270902,0.000158765,-0.000350381,1.57054e-06,0.486707,0.486707,-0.286474,-0.286474,3.1075,1000000,0
,0.4,0.0465403,0.000272754,0.000601945,2.69814e-06,0.0465403,0.000272754,0.000601945,2.69814e-06,-0.0316646,0.000185574,-0.000409544,1.83573e-06,-0.0316646,0.000185574,-0.000409544,1.83573e-06,0.492156,0.492156,-0.334848,-0.334848,3.10935,1000000,0
,0.45,0.0470031,0.000275467,0.000607929,2.72496e-06,0.0470031,0.000275467,0.000607929,2.72496e-06,-0.0363707,0.000213154,-0.000470411,2.10856e-06,-0.0363707,0.000213154,-0.000470411,2.10856e-06,0.49705,0.49705,-0.384614,-0.384614,3.09017,1000000,0
,0.5,0.0474293,0.000277965,0.00061344,2.74967e-06,0.0474293,0.000277965,0.00061344,2.74967e-06,-0.0412874,0.000241969,-0.000534002,2.3936e-06,-0.0412874,0.000241969,-0.000534002,2.3936e-06,0.501557,0.501557,-0.436608,-0.436608,3.04868,1000000,0
,0.55,0.0478077,0.000280182,0.000618332,2.7716e-06,0.0478077,0.000280182,0.000618332,2.7716e-06,-0.0465017,0.000272529,-0.000601442,2.69589e-06,-0.0465017,0.000272529,-0.000601442,2.69589e-06,0.505558,0.505558,-0.491748,-0.491748,3.1126,1000000,0
,0.6,0.0481005,0.000281899,0.000622119,2.78858e-06,0.0481005,0.000281899,0.000622119,2.78858e-06,-0.0519931,0.000304711,-0.000672464,3.01425e-06,-0.0519931,0.000304711,-0.000672464,3.01425e-06,0.508655,0.508655,-0.549818,-0.549818,3.10863,1000000,0
,0.65,0.0482717,0.000282902,0.000624332,2.7985e-06,0.0482717,0.000282902,0.000624332,2.7985e-06,-0.0575672,0.000337379,-0.000744557,3.3374e-06,-0.0575672,0.000337379,-0.000744557,3.3374e-06,0.510465,0.510465,-0.608764,-0.608764,3.11365,1000000,0
,0.7,0.0483029,0.000283085,0.000624734,2.80031e-06,0.0483029,0.000283085,0.000624734,2.80031e-06,-0.0628879,0.000368562,-0.000813371,3.64585e-06,-0.0628879,0.000368562,-0.000813371,3.64585e-06,0.510795,0.510795,-0.665029,-0.665029,3.11172,1000000,0
,0.75,0.0482077,0.000282527,0.000623502,2.79479e-06,0.0482077,0.000282527,0.000623502,2.79479e-06,-0.0674275,0.000395167,-0.000872083,3.90903e-06,-0.0674275,0.000395167,-0.000872083,3.90903e-06,0.509789,0.509789,-0.713034,-0.713034,3.10014,1000000,0
,0.8,0.0480226,0.000281442,0.000621106,2.78405e-06,0.0480226,0.000281442,0.000621106,2.78405e-06,-0.0705236,0.000413312,-0.000912126,4.08852e-06,-0.0705236,0.000413312,-0.000912126,4.08852e-06,0.507831,0.507831,-0.745775,-0.745775,3.09217,1000000,0
