z2,<dsig|c12>_piPpiM,err_<dsig|c12>_piPpiM,<dsig|c12>_piMpiP,err_<dsig|c12>_piMpiP,<dsig|c12>_piPpiP,err_<dsig|c12>_piPpiP,<dsig|c12>_piMpiM,err_<dsig|c12>_piMpiM,<ALL|c12>_piPpiM,err_<ALL|c12>_piPpiM,<ALL|c12>_piMpiP,err_<ALL|c12>_piMpiP,<ALL|c12>_piPpiP,err_<ALL|c12>_piPpiP,<ALL|c12>_piMpiM,err_<ALL|c12>_piMpiM,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_piPpiM,Collins_piMpiP,Collins_piPpiP,Collins_piMpiM,time[s],neval,fail
,0.1,0.0357325,1.30922e-05,0.000467137,1.3564e-07,0.0357325,1.30922e-05,0.000467137,1.3564e-07,-0.00654186,2.3969e-06,-8.55227e-05,2.48328e-08,-0.00654186,2.3969e-06,-8.55227e-05,2.48328e-08,0.37997,0.37997,-0.0695643,-0.0695643,120.887,39000000,0
,0.15,0.0353509,1.3071e-05,0.000462173,1.35193e-07,0.0353509,1.3071e-05,0.000462173,1.35193e-07,-0.00730135,2.69968e-06,-9.54571e-05,2.79226e-08,-0.00730135,2.69968e-06,-9.54571e-05,2.79226e-08,0.375904,0.375904,-0.0776391,-0.0776391,117.675,38000000,0
,0.2,0.0356084,1.31228e-05,0.000465494,1.35546e-07,0.0356084,1.31228e-05,0.000465494,1.35546e-07,-0.00878192,3.23642e-06,-0.000114803,3.3429e-08,-0.00878192,3.23642e-06,-0.000114803,3.3429e-08,0.378649,0.378649,-0.0933844,-0.0933844,117.714,38000000,0
,0.25,0.0364667,1.35862e-05,0.000476674,1.4016e-07,0.0364667,1.35862e-05,0.000476674,1.4016e-07,-0.0107908,4.02028e-06,-0.000141052,4.14746e-08,-0.0107908,4.02028e-06,-0.000141052,4.14746e-08,0.387779,0.387779,-0.114747,-0.114747,114.687,37000000,0
,0.3,0.0375995,1.39703e-05,0.000491448,1.43974e-07,0.0375995,1.39703e-05,0.000491448,1.43974e-07,-0.0130479,4.84801e-06,-0.000170544,4.99624e-08,-0.0130479,4.84801e-06,-0.000170544,4.99624e-08,0.399826,0.399826,-0.138749,-0.138749,114.782,37000000,0
,0.35,0.0387239,1.43544e-05,0.000506128,1.47809e-07,0.0387239,1.43544e-05,0.000506128,1.47809e-07,-0.0153587,5.69325e-06,-0.000200741,5.8624e-08,-0.0153587,5.69325e-06,-0.000200741,5.8624e-08,0.411786,0.411786,-0.163323,-0.163323,114.801,37000000,0
,0.4,0.0397069,1.51231e-05,0.000518956,1.55608e-07,0.0397069,1.51231e-05,0.000518956,1.55608e-07,-0.017652,6.72309e-06,-0.000230706,6.91769e-08,-0.017652,6.72309e-06,-0.000230706,6.91769e-08,0.422235,0.422235,-0.187708,-0.187708,108.742,35000000,0
,0.45,0.0405631,2.34641e-05,0.000530218,2.41034e-07,0.0405631,2.34641e-05,0.000530218,2.41034e-07,-0.0199356,1.1532e-05,-0.000260587,1.18461e-07,-0.0199356,1.1532e-05,-0.000260587,1.18461e-07,0.431287,0.431287,-0.211966,-0.211966,49.5694,16000000,0
,0.5,0.0413874,4.29657e-05,0.00054142,4.39642e-07,0.0413874,4.29657e-05,0.00054142,4.39642e-07,-0.0221933,2.30396e-05,-0.000290327,2.3575e-07,-0.0221933,2.30396e-05,-0.000290327,2.3575e-07,0.439906,0.439906,-0.235892,-0.235892,18.4942,6000000,0
,0.55,0.0422894,0.000106865,0.00055236,1.08224e-06,0.0422894,0.000106865,0.00055236,1.08224e-06,-0.0243122,6.14365e-05,-0.000317552,6.22182e-07,-0.0243122,6.14365e-05,-0.000317552,6.22182e-07,0.449048,0.449048,-0.258157,-0.258157,6.19817,2000000,0
,0.6,0.0434053,0.000254381,0.000561402,2.5164e-06,0.0434053,0.000254381,0.000561402,2.5164e-06,-0.0261206,0.000153082,-0.000337843,1.51433e-06,-0.0261206,0.000153082,-0.000337843,1.51433e-06,0.459004,0.459004,-0.276221,-0.276221,3.09491,1000000,0
,0.65,0.0443673,0.000260019,0.000573844,2.57217e-06,0.0443673,0.000260019,0.000573844,2.57217e-06,-0.0271684,0.000159223,-0.000351394,1.57507e-06,-0.0271684,0.000159223,-0.000351394,1.57507e-06,0.469177,0.469177,-0.287301,-0.287301,3.09648,1000000,0
,0.7,0.0452771,0.000265351,0.000585609,2.62491e-06,0.0452771,0.000265351,0.000585609,2.62491e-06,-0.0273022,0.000160007,-0.000353124,1.58283e-06,-0.0273022,0.000160007,-0.000353124,1.58283e-06,0.478797,0.478797,-0.288716,-0.288716,3.09752,1000000,0
,0.75,0.0460528,0.000269897,0.000595641,2.66988e-06,0.0460528,0.000269897,0.000595641,2.66988e-06,-0.026424,0.000154861,-0.000341765,1.53192e-06,-0.026424,0.000154861,-0.000341765,1.53192e-06,0.487001,0.487001,-0.27943,-0.27943,3.09937,1000000,0
,0.8,0.0466452,0.000273369,0.000603302,2.70422e-06,0.0466452,0.000273369,0.000603302,2.70422e-06,-0.0246382,0.000144395,-0.000318666,1.42838e-06,-0.0246382,0.000144395,-0.000318666,1.42838e-06,0.493266,0.493266,-0.260545,-0.260545,3.09585,1000000,0
